name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Amazon Athena,,https://aws.amazon.com/athena/,logos/61adbe8db2f27d82816a0f5e8f2cddf6836a6107025cda5f268f43e876dca6c0.svg,,,,,,,,,"Amazon Athena is a serverless, interactive query service that lets you analyze data stored in Amazon S3 using standard SQL.",,,,,,,,,,,,Amazon Web Services (AWS),Analytics,,,,,,,,,,,,,,,,,,,,,,,,
Amazon ECR,,https://aws.amazon.com/ecr/,logos/5afaae231693ea19318d66ecec5ac8d61038be6cb58ddffc45467e70b8589b9f.svg,,,,,,,,,"Amazon ECR acts as your secure storage locker for container images on AWS.  Imagine it as a private Docker registry specifically designed for Amazon Web Services. With Amazon ECR, you can store, manage, deploy, and share your container images in a highly available and scalable way. ",,,,,,,,,,,,Amazon Web Services (AWS),Containers,,,,,,,,,,,,,,,,,,,,,,,,
Amazon ECS,,https://aws.amazon.com/ecs/,logos/d6f50602be99fa5f9dabeb16ae6c6e389ed550d35e6271b304967a94b853be75.svg,,,,,,,,,"Amazon ECS offers a simpler way to deploy, manage, and scale containerized applications on AWS. Unlike EKS, it doesn't require managing a Kubernetes control plane. You choose how your containers run, either on Amazon EC2 instances or using the serverless option with AWS Fargate.  This flexibility makes ECS a good option for those who want a more hands-on approach to container orchestration on AWS.",,,,,,,,,,,,Amazon Web Services (AWS),Containers,,,,,,,,,,,,,,,,,,,,,,,,
Amazon EFS,,https://aws.amazon.com/efs/,logos/808ff0397b2cdad0332ad3a8a0834a37c33d633ff9ff6c114edabeea59a36fb7.svg,,,,,,,,,"Amazon Elastic File System (Amazon EFS) provides scalable, parallel file storage for use with your AWS applications.  Imagine it as a shared file server that can grow and shrink automatically as your data storage needs change. ",,,,,,,,,,,,Amazon Web Services (AWS),Storage,,,,,,,,,,,,,,,,,,,,,,,,
Amazon EKS,,https://aws.amazon.com/eks/,logos/b5b6b76132c79e5f71721f7d20ec1989f43c7b8c75f789dcb3e09adce18bc05b.svg,,,,,,,,,"Amazon EKS it's a managed Kubernetes service, meaning you don't need to set up and maintain Kubernetes control planes yourself. EKS lets you focus on deploying and scaling your containerized applications while Amazon takes care of the underlying infrastructure,  making it easier to leverage the benefits of containerization without the management burden.",,,,,,,,,,,,Amazon Web Services (AWS),Containers,,,,,,,,,,,,,,,,,,,,,,,,
Amazon ElastiCache,,https://aws.amazon.com/elasticache/,logos/d75b38ec6064823e1b8262746836f8ecaf0958fcb37d6d2228aca1b9e1966478.svg,,,,,,,,,"Amazon ElastiCache is a managed in-memory data store and cache service offered by Amazon Web Services (AWS).  It acts as a high-speed layer between your application and database, storing frequently accessed data in memory for quicker retrieval. ",,,,,,,,,,,,Amazon Web Services (AWS),Database,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Keyspaces,,https://aws.amazon.com/keyspaces/,logos/03951a6c60b1b1ecb838b0fed83681606f49e9fee3c590391514584c7c4167f8.svg,,,,,,,,,Amazon Keyspaces is a managed Apache Cassandra-compatible database service offered by Amazon Web Services (AWS). ,,,,,,,,,,,,Amazon Web Services (AWS),Database,,,,,,,,,,,,,,,,,,,,,,,,
Amazon MSK,,https://aws.amazon.com/msk/,logos/ec6b5105e51f965057d54c9ef8f744740144c3101f8a02fa022d099f83a87cbb.svg,,,,,,,,,"This service by Amazon Web Services lets you leverage the power of Apache Kafka, a popular platform for streaming data, without the hassle of managing its servers and configurations.  With Amazon MSK, you can focus on building and running your applications, while Amazon takes care of the Kafka infrastructure, ensuring real-time data processing and seamless integration with your existing Kafka tools and applications.",,,,,,,,,,,,Amazon Web Services (AWS),Analytics,,,,,,,,,,,,,,,,,,,,,,,,
Amazon OpenSearch Service,,https://aws.amazon.com/opensearch-service/,logos/82254e456ba2e38bce740f012ec8a87ab2ab05c82be634e2224cf74f53006f56.svg,,,,,,,,,"Amazon OpenSearch Service is a managed offering that makes deploying and running OpenSearch, a powerful search and analytics engine, a breeze.  It allows you to easily search through large volumes of data for log analytics, real-time application monitoring, website search, and more. ",,,,,,,,,,,,Amazon Web Services (AWS),Analytics,,,,,,,,,,,,,,,,,,,,,,,,
Amazon RDS,,https://aws.amazon.com/rds/,logos/acabfe648ea8c4c01b725eafc87c1242b4fe14ce86b5992c1396dbc7dbc2f822.svg,,,,,,,,,Amazon Relational Database Service (RDS) is a managed database service offered by Amazon Web Services (AWS).,,,,,,,,,,,,Amazon Web Services (AWS),Database,,,,,,,,,,,,,,,,,,,,,,,,
Amazon S3,,https://aws.amazon.com/s3/,logos/7460df407ad627bd164f4dc17d3a8becfa9634ef7ede19e2548672ab544f22ed.svg,,,,,,,,,"Amazon S3, or Amazon Simple Storage Service, is a scalable and object storage service offered by Amazon Web Services (AWS). ",,,,,,,,,,,,Amazon Web Services (AWS),Storage,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Web Serivces (AWS),,https://aws.amazon.com/,logos/bb6d8dbe7b0fddd49758ad5f0eb56f02868bbb40d52a9181410d8cd16dcd1b53.svg,,,,,,,,,"Amazon Web Services (AWS) is a comprehensive and widely-used cloud computing platform offered by Amazon.  It provides a vast array of cloud services that include computing power, storage options, databases, networking, machine learning, analytics, and more. ",,,,,,,,,,,,Cloud Computing,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
Ansible,,https://www.ansible.com/,logos/4049bbbd701c89cd80bb1e9f7fc41bb43bc470d1d473e7af53947d40aa134740.svg,,,,,,,GNU General Public License v3.0,,"Ansible is a suite of software tools that enables infrastructure as code. It is open-source and the suite includes software provisioning,  configuration management, and application deployment functionality.",,,,,,,,,,,,Software Development,Infrastructure as Code (IaC),true,https://github.com/ansible/ansible,61615,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",2024-06-18,https://github.com/ansible/ansible/commit/d62496fe416623e88b90139dc7917080cb04ce70,2024-06-17,https://github.com/ansible/ansible/releases/tag/v2.17.1,2012-02-23,https://github.com/ansible/ansible/commit/f31421576b00f0b167cdbe61217c31c21a41ac02,6843,https://github.com/ansible/ansible/graphs/contributors,,,,,,,,,,,,
Apache Airflow,,https://airflow.apache.org/,logos/116dda17c7f9513c74ac020ef39bac907c311386fda1e49a60caedc287748cf9.svg,,,,,,,Apache License 2.0,,"Apache Airflow is an open-source workflow management platform.   Written in Python, Airflow lets you programmatically define, schedule, and monitor workflows, ensuring tasks run in the right order and at the right time.   This helps automate complex data engineering processes and keep your data pipelines running smoothly.",,,,,,,,,,,,Databases and Data Stores,Big Data and Stream Processing,true,https://github.com/apache/airflow,35084,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",2024-06-18,https://github.com/apache/airflow/commit/e7052d42440070e77eb6ff1cea41550f368f77c9,2024-06-10,https://github.com/apache/airflow/releases/tag/2.9.2,2014-10-06,https://github.com/apache/airflow/commit/1047940ca4363b04044c4963b9c88f7632746407,3329,https://github.com/apache/airflow/graphs/contributors,,,,,,,,,,,,
Apache Cassandra,,https://cassandra.apache.org/,logos/a38ac4b899da5553d6a40cd962109e5fd71c9bcff53db8977e62276a527f648c.svg,,,,,,,Apache License 2.0,,"Apache Cassandra is a highly scalable, distributed NoSQL database designed for handling large amounts of data across many commodity servers with high availability and no single point of failure.",,,,,,,,,,,,Databases and Data Stores,NoSQL Databases,true,https://github.com/apache/cassandra,8569,Mirror of Apache Cassandra,2024-06-07,https://github.com/apache/cassandra/commit/63648c1e86bdc31d60b80e55b4f48c55aa5e8deb,,,2009-03-02,https://github.com/apache/cassandra/commit/1f91e99223b0d1b7ed8390400d4a06ac08e4aa85,579,https://github.com/apache/cassandra/graphs/contributors,,,,,,,,,,,,
Apache Kafka,,https://kafka.apache.org/,logos/8f0ab60293d9fee5c81378e36fb57d79303c41cec0bc7e2ee941879a176e27f8.svg,,,,,,,,,"Apache Kafka is a distributed streaming platform designed for building real-time data pipelines and streaming applications, known for its high throughput, scalability, and fault tolerance.",,,,,,,,,,,,Databases and Data Stores,Big Data and Stream Processing,,,,,,,,,,,,,,,,,,,,,,,,
Apache Maven,,https://maven.apache.org,logos/40e67aed15ac980963229fdddf0d2343e40ab71878a1472252a6873b9297e7d8.svg,,,,,,,,,"Maven is a build automation and project management tool primarily used for Java projects. Developed by the Apache Software Foundation, Maven uses an XML file, known as the Project Object Model (POM), to manage a project's build, dependencies, documentation, and reporting.",,,,,,,,,,,,Software Development,Build Tools,,https://github.com/apache/maven-sources,91,Apache Maven Sources,2023-12-29,https://github.com/apache/maven-sources/commit/2501a76f849162a88a97c4b1266c2c0ea9513cc2,,,2017-11-01,https://github.com/apache/maven-sources/commit/52c44d0b111e10f9226cd4f4ed4486af5d29ea96,6,https://github.com/apache/maven-sources/graphs/contributors,,,,,,,,,,,,
Apache Spark,,https://spark.apache.org/,logos/b9fa977aef4de3eccb2757451fda732e2c0b44091bf235d42da4639d4f0ecb77.svg,,,,,,,Apache License 2.0,,"Apache Spark is an open-source unified analytics engine built for large-scale data processing.   It excels at handling batch, streaming, and machine learning tasks, offering speed and ease of use.",,,,,,,,,,,,Databases and Data Stores,Big Data and Stream Processing,true,https://github.com/apache/spark,38722,Apache Spark - A unified analytics engine for large-scale data processing,2024-06-18,https://github.com/apache/spark/commit/80bba4463eba29a56cdd90642f0681c3710ce87c,,,2010-03-29,https://github.com/apache/spark/commit/df29d0ea4c8b7137fdd1844219c7d489e3b0d9c9,3080,https://github.com/apache/spark/graphs/contributors,,,,,,,,,,,,
Atlassian Bitbucket,,https://bitbucket.org/product,logos/275c1901cdf52560b8d9c915ec7daf7585e6433cff67ed8854960c4fe4201db2.svg,,,,,,,,,"Atlassian Bitbucket is a web-based platform that provides Git repository management, supporting source code collaboration for development teams. It offers features like code hosting, pull requests, code review, and continuous integration/continuous deployment (CI/CD) pipelines.  Bitbucket integrates seamlessly with other Atlassian products like Jira and Confluence, enabling comprehensive project tracking and documentation.",,,,,,,,,,,,Software Development,Version Control,,,,,,,,,,,,,,,,,,,,,,,,
AWS CodeArtifact,,https://aws.amazon.com/codeartifact/,logos/355b2d5b5a214627138216066cba66b7f82922e5701acdc421a34583038e9557.svg,,,,,,,,,"AWS CodeArtifact is a secure and scalable service for storing and sharing software packages within your organization. Imagine it as a private warehouse for your code, allowing you to manage different versions of software components and share them securely with your development teams.",,,,,,,,,,,,Amazon Web Services (AWS),Developer Tools,,,,,,,,,,,,,,,,,,,,,,,,
AWS DataSync,,https://aws.amazon.com/datasync/,logos/7e9902c26f225ffc42d56eeead9220dab673c5e64159ec14830fb22420de87b7.svg,,,,,,,,,"AWS DataSync is a managed data transfer service that simplifies moving large datasets between on-premises storage and AWS storage services. It automates and accelerates data transfers, eliminating the need for manual processes or complex scripting.",,,,,,,,,,,,Amazon Web Services (AWS),Storage,,,,,,,,,,,,,,,,,,,,,,,,
AWS Glue,,https://aws.amazon.com/glue/,logos/9eb5088bbef0d3312462f6789b603ba2f08d830d4720a0bb8b57be9fde1d7597.svg,,,,,,,,,"AWS Glue is a serverless data integration service offered by Amazon Web Services (AWS). It simplifies the process of preparing and combining data for analytics, machine learning, and application development.",,,,,,,,,,,,Amazon Web Services (AWS),Analytics,,,,,,,,,,,,,,,,,,,,,,,,
AWS Identity and Access Management,,https://aws.amazon.com/iam/,logos/9dbff9b365447bab1402d0f68c1f14028c1e229355752b2c119edcbc027a6f7f.svg,,,,,,,,,AWS Identity and Access Management (IAM) is a core AWS service that allows you to securely control who can access your AWS resources and what actions they can perform.,,,,,,,,,,,,Amazon Web Services (AWS),"Security, Identity, & Compliance",,,,,,,,,,,,,,,,,,,,,,,,
AWS KMS,,https://aws.amazon.com/kms/,logos/3c9386717637920b37b87b3cf3ddc8b2beb170d4f6317bbe8505fdd837a251a5.svg,,,,,,,,,"AWS KMS, or Amazon Key Management Service, is your central vault for encryption keys on AWS.  Think of it as a high-security bank for the digital keys that protect your data. ",,,,,,,,,,,,Amazon Web Services (AWS),Cryptography & PKI,,,,,,,,,,,,,,,,,,,,,,,,
Azure AD,,https://azure.microsoft.com/products/active-directory/,logos/fb4751bee7644f81bd47e851dfa71be7cfee218a6281603f11b27b15c70bfb4a.svg,,,,,,,,,"Azure Active Directory (Azure AD), now known as Microsoft Entra ID, is a cloud-based identity and access management (IAM) solution from Microsoft. In a nutshell, it helps organizations manage and secure access to various resources,  both on-premises and in the cloud.",,,,,,,,,,,,Security,Identity and Access Management (IAM),,,,,,,,,,,,,,,,,,,,,,,,
Checkov,,https://www.checkov.io/,logos/7c42e4cda2d106335ba1891d612ce8383d6ea55bc3834088560fde06c7489fcf.svg,,,,,,,Apache License 2.0,,"Checkov scans cloud infrastructure configurations to find misconfigurations before they are deployed. Checkov manages and analyzes infrastructure as code (IaC) scan results across platforms such as Terraform, CloudFormation, Kubernetes, Helm, ARM Templates and Serverless framework.",,,,,,,,,,,,Software Development,Infrastructure as Code (IaC),true,https://github.com/bridgecrewio/checkov,6675,"Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew.",2024-06-18,https://github.com/bridgecrewio/checkov/commit/574372380f4205f48bab8a48dc770b474cf4b2bc,2024-06-17,https://github.com/bridgecrewio/checkov/releases/tag/3.2.138,2019-11-27,https://github.com/bridgecrewio/checkov/commit/d6dd1dfe19dd4a3fab7eba7a6ce51ff05fef711e,374,https://github.com/bridgecrewio/checkov/graphs/contributors,,,,,,,,,,,,
DataHub,,https://datahubproject.io/,logos/10773a64682ea001535745597f6857cb8807e37c4108bf2ebcb8b6f4fef31f89.svg,,,,,,,Apache License 2.0,,"DataHub is an open-source metadata platform designed for data discovery, cataloging, and governance, enabling collaboration and trust in data across an organization.",,,,,,,,,,,,Databases and Data Stores,Search and Analytics,true,https://github.com/datahub-project/datahub,9375,The Metadata Platform for your Data Stack,2024-06-18,https://github.com/datahub-project/datahub/commit/bcb40d3d71abeceac9ce02f2f2ed6f728936eb3d,2024-05-23,https://github.com/datahub-project/datahub/releases/tag/v0.13.3,2015-11-18,https://github.com/datahub-project/datahub/commit/ec440f09a267f598c46f93106906d93b5fc26120,514,https://github.com/datahub-project/datahub/graphs/contributors,,,,,,,,,,,,
Docker,,https://www.docker.com/,logos/4398917da70a73bed76c543bd918310528991cfec7d69be53f91ee00e811927d.svg,,,,,,,Apache License 2.0,,"The Docker CLI (Command Line Interface) is a client tool used to interact with Docker Engine, allowing users to manage containers, images, networks, and volumes.  It provides commands for building, running, and managing Docker containers, making it essential for developers and system administrators working with Dockerized applications. ",,,,,,,,,,,,Cloud Computing,Containerization and Orchestration,true,https://github.com/docker/cli,4712,The Docker CLI,2024-06-18,https://github.com/docker/cli/commit/64206aef767d23420803badbd205d1c5a661f097,,,2013-02-14,https://github.com/docker/cli/commit/f5594142a8cb8f1bd3136eb6919779c8e47a5f1a,901,https://github.com/docker/cli/graphs/contributors,,,,,,,,,,,,
Elasticsearch,,https://www.elastic.co/,logos/cad000d32f0b37f6cfd4ff9242cf5194681fd8e13fdf8846b94580e5db0977a6.svg,,,,,,,Other,,"Elasticsearch is a distributed, open-source search and analytics engine designed for fast and scalable full-text search, logging, and real-time data analysis.",,,,,,,,,,,,Databases and Data Stores,Search and Analytics,true,https://github.com/elastic/elasticsearch,68367,"Free and Open, Distributed, RESTful Search Engine",2024-06-18,https://github.com/elastic/elasticsearch/commit/411ff56458e589b579faa93457a8154053a1b06d,2024-06-13,https://github.com/elastic/elasticsearch/releases/tag/v7.17.22,2010-02-08,https://github.com/elastic/elasticsearch/commit/ec72ca8b7a115f9b2eea3c76c518062b99a1d015,2174,https://github.com/elastic/elasticsearch/graphs/contributors,,,,,,,,,,,,
GitHub,,https://github.com/,logos/7a0dd11e373830a51a565de9fed4a985707c67ccd390f9ae4946a152303ea676.svg,,,,,,,,,"GitHub is a version control platform specifically built for software development. It lets developers host and collaborate on code, track changes, and manage projects. GitHub offers additional features like version control, which allows you to see how the code has changed over time, and collaboration tools that make it easy for multiple developers to work on a project together.",,,,,,,,,,,,Software Development,Version Control,,,,,,,,,,,,,,,,,,,,,,,,
Gitlab,,https://about.gitlab.com,logos/fbbec3a8a36db6cb6048aa6e15a6ad9b06b1feb6d4a4ed36cfa17a4fd54d8de7.svg,,,,,,,,,"GitLab is a web-based DevOps lifecycle tool that provides a Git repository manager, CI/CD pipeline features, and other capabilities for managing the entire  software development and deployment process. It enables teams to collaborate on code, manage projects, and automate workflows, supporting a seamless integration of coding, testing, and deployment tasks.",,,,,,,,,,,,Software Development,Version Control,,,,,,,,,,,,,,,,,,,,,,,,
Google Cloud Platform,,https://cloud.google.com,logos/dafedcabb0df2873f5d740f527f58edd5c7d594106b83d485a8416611b39f996.svg,,,,,,,,,"Google Cloud Platform (GCP) is a suite of cloud computing services provided by Google. It offers a wide range of services for computing, storage, databases, machine learning, networking, and developer tools that help businesses build, deploy, and scale applications and services. GCP's services include Google Compute Engine for virtual machines, Google Cloud Storage for object storage, Google Kubernetes Engine (GKE) for container orchestration, Google BigQuery for data analytics, and Google Cloud AI for machine learning and artificial intelligence.",,,,,,,,,,,,Cloud Computing,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
Gradle,,https://gradle.org,logos/5047069a1ba0337c4107c17dd4c1b64e1cdc0b19925a25db87148ddbb8689aaf.svg,,,,,,,Apache License 2.0,,"Gradle is a versatile build automation tool used for building, testing, and deploying software projects.  It combines the best features of Apache Ant and Apache Maven, providing a powerful and flexible system for managing project builds. Gradle uses a domain-specific language (DSL) based on Groovy or Kotlin to define build scripts, offering a more concise and expressive syntax compared to XML-based tools.",,,,,,,,,,,,Software Development,Build Tools,true,https://github.com/gradle/gradle,16318,"Adaptable, fast automation for all",2024-06-18,https://github.com/gradle/gradle/commit/6a61e6d812b2cefb7fb529f62ab4c867ca80c1d7,2024-05-31,https://github.com/gradle/gradle/releases/tag/v8.8.0,2008-03-10,https://github.com/gradle/gradle/commit/9ddae5aaa1fbaa6ce60bdc0f935887600dc441bf,898,https://github.com/gradle/gradle/graphs/contributors,,,,,,,,,,,,
Grafana,,https://grafana.com/,logos/d1457ab3dbacebd9266d996090002b3c87745a13c5ae7e18a0d532d4cd5558d8.svg,,,,,,,GNU Affero General Public License v3.0,,"Grafana allows you to query, visualize, alert on and understand your metrics no matter where they are stored. Create, explore, and share beautiful dashboards with your team and foster a data driven culture.",,,,,,,,,,,,Databases and Data Stores,Monitoring and Logging,true,https://github.com/grafana/grafana,61184,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",2024-06-18,https://github.com/grafana/grafana/commit/b0c043de5fe0779c89ed178995b864c07f935f39,2024-05-14,https://github.com/grafana/grafana/releases/tag/v11.0.0,2013-01-26,https://github.com/grafana/grafana/commit/75d03fc49ab4f95ee414f730563f14cbdad9ee64,2565,https://github.com/grafana/grafana/graphs/contributors,,,,,,,,,,,,
